query,result
Chuwi ,220042001857 220042001859 220042001858 
Chuwi i5 ,220042001857 
Chuwi i5 16 GB ,220042001857 
Chuwi Celeron ,220042001859 220042001858 
Chuwi Celeron 8 GB ,220042001859 220042001858 
Chuwi Celeron 8 GB ,220042001859 220042001858 
LG ,220042001398 220042001399 220042001400 220042001401 220042001402 
LG i7 ,220042001398 220042001399 220042001400 220042001401 220042001402 
LG i7 16 GB ,220042001398 220042001399 220042001400 220042001401 220042001402 
MSI ,220042001608 220042001724 220042001446 220042001725 220042001673 220042001542 220042001560 220042001561 220042001716 220042001670 220042001715 220042001445 220042001656 220042001853 220042001562 220042001708 220042001829 220042001671 220042001803 220042001762 220042001678 220042001802 220042001726 220042001594 
MSI Ryzen 7 ,220042001708 220042001726 
MSI Ryzen 7 8 GB ,220042001708 220042001726 
MSI Ryzen 7 8 GB ,220042001708 220042001726 
MSI i5 ,220042001562 220042001829 220042001671 220042001802 220042001594 
MSI i5 8 GB ,220042001829 220042001671 220042001802 220042001594 
MSI i5 16 GB ,220042001562 
MSI i5 8 GB ,220042001829 220042001671 220042001802 220042001594 
MSI Ryzen 5 ,220042001724 220042001725 
MSI Ryzen 5 8 GB ,220042001724 220042001725 
MSI Ryzen 5 8 GB ,220042001724 220042001725 
MSI i7 ,220042001608 220042001446 220042001673 220042001542 220042001560 220042001561 220042001716 220042001670 220042001715 220042001445 220042001656 220042001853 220042001803 220042001762 220042001678 
MSI i7 8 GB ,220042001608 220042001446 220042001656 220042001803 220042001762 220042001678 
MSI i7 32 GB ,220042001542 220042001560 
MSI i7 16 GB ,220042001673 220042001561 220042001716 220042001670 220042001715 220042001445 220042001853 
MSI i7 8 GB ,220042001608 220042001446 220042001656 220042001803 220042001762 220042001678 
MSI Ryzen 7 ,220042001708 220042001726 
MSI Ryzen 7 8 GB ,220042001708 220042001726 
MSI Ryzen 7 8 GB ,220042001708 220042001726 
Surface ,220042001792 220042001794 220042001791 220042001790 220042001787 
Surface i5 ,220042001792 220042001794 220042001791 220042001790 220042001787 
Surface i5 8 GB ,220042001792 220042001794 220042001791 220042001790 220042001787 
Surface i5 8 GB ,220042001792 220042001794 220042001791 220042001790 220042001787 
MacBook ,220042001424 220042001645 220042001285 220042001420 220042001279 
MacBook Apple M1 Pro ,220042001645 
MacBook Apple M1 Pro 16 GB ,220042001645 
MacBook Apple M1 ,220042001424 220042001285 220042001420 220042001279 
MacBook Apple M1 8 GB ,220042001285 220042001279 
MacBook Apple M1 16 GB ,220042001424 220042001420 
MacBook Apple M1 8 GB ,220042001285 220042001279 
GIGABYTE ,220042001698 220042001585 220042001699 220042001614 
GIGABYTE i5 ,220042001698 220042001585 220042001699 220042001614 
GIGABYTE i5 16 GB ,220042001698 220042001585 220042001699 220042001614 
Intel ,220042001757 220042001756 220042001755 
Intel i5 ,220042001755 
Intel i5 16 GB ,220042001755 
Intel i7 ,220042001757 220042001756 
Intel i7 16 GB ,220042001757 220042001756 
Asus ,220042001779 220042001705 220042001719 220042001747 220042001732 220042001581 220042001805 220042001884 220042001550 220042001690 220042001689 220042001706 220042001846 220042001801 220042001840 220042001847 220042001804 220042001780 220042001781 220042001821 220042001367 220042001615 220042001883 220042001397 220042001682 220042001882 220042001881 220042001591 220042001693 220042001727 220042001450 220042001795 220042001778 220042001717 
Asus Ryzen 7 ,220042001847 220042001780 220042001781 
Asus Ryzen 7 8 GB ,220042001847 220042001780 220042001781 
Asus Ryzen 7 8 GB ,220042001847 220042001780 220042001781 
Asus i5 ,220042001779 220042001705 220042001581 220042001884 220042001690 220042001689 220042001846 220042001801 220042001840 220042001804 220042001821 220042001367 220042001615 220042001883 220042001397 220042001682 220042001882 220042001881 220042001591 220042001693 
Asus i5 8 GB ,220042001779 220042001705 220042001581 220042001884 220042001690 220042001689 220042001846 220042001801 220042001840 220042001804 220042001821 220042001367 220042001615 220042001883 220042001397 220042001682 220042001882 220042001881 220042001591 220042001693 
Asus i5 8 GB ,220042001779 220042001705 220042001581 220042001884 220042001690 220042001689 220042001846 220042001801 220042001840 220042001804 220042001821 220042001367 220042001615 220042001883 220042001397 220042001682 220042001882 220042001881 220042001591 220042001693 
Asus Ryzen 5 ,220042001706 
Asus Ryzen 5 8 GB ,220042001706 
Asus Ryzen 5 8 GB ,220042001706 
Asus Celeron ,220042001717 
Asus Celeron 4 GB ,220042001717 
Asus i3 ,220042001727 220042001450 220042001795 
Asus i3 8 GB ,220042001727 220042001795 
Asus i3 4 GB ,220042001450 
Asus i3 8 GB ,220042001727 220042001795 
Asus Pentium ,220042001778 
Asus Pentium 4 GB ,220042001778 
Asus i7 ,220042001719 220042001747 220042001732 220042001805 220042001550 
Asus i7 8 GB ,220042001732 220042001550 
Asus i7 16 GB ,220042001719 220042001747 220042001805 
Asus i7 8 GB ,220042001732 220042001550 
Asus Ryzen 7 ,220042001847 220042001780 220042001781 
Asus Ryzen 7 8 GB ,220042001847 220042001780 220042001781 
Asus Ryzen 7 8 GB ,220042001847 220042001780 220042001781 
Lenovo ,220042001666 220042001759 220042001337 220042001411 220042001321 220042001843 220042001322 220042001769 220042001668 220042001844 220042001770 220042001774 220042001773 220042001667 220042001385 220042001876 220042001841 220042001428 220042001890 
Lenovo Ryzen 7 ,220042001843 
Lenovo Ryzen 7 8 GB ,220042001843 
Lenovo Ryzen 7 8 GB ,220042001843 
Lenovo i5 ,220042001759 220042001337 220042001322 220042001668 220042001773 220042001667 220042001385 220042001876 220042001841 220042001428 
Lenovo i5 8 GB ,220042001759 220042001337 220042001668 220042001773 220042001667 220042001385 220042001876 220042001841 220042001428 
Lenovo i5 16 GB ,220042001322 
Lenovo i5 8 GB ,220042001759 220042001337 220042001668 220042001773 220042001667 220042001385 220042001876 220042001841 220042001428 
Lenovo Ryzen 5 ,220042001844 220042001890 
Lenovo Ryzen 5 8 GB ,220042001844 
Lenovo Ryzen 5 16 GB ,220042001890 
Lenovo Ryzen 5 8 GB ,220042001844 
Lenovo i7 ,220042001666 220042001411 220042001321 220042001769 220042001770 220042001774 
Lenovo i7 8 GB ,220042001666 220042001769 220042001774 
Lenovo i7 16 GB ,220042001411 220042001321 220042001770 
Lenovo i7 8 GB ,220042001666 220042001769 220042001774 
Lenovo Ryzen 7 ,220042001843 
Lenovo Ryzen 7 8 GB ,220042001843 
Lenovo Ryzen 7 8 GB ,220042001843 
HP ,220042001761 220042001373 220042001441 220042001691 220042001743 220042001872 220042001854 220042001815 220042001776 220042001809 220042001835 220042001669 220042001864 220042001760 220042001871 220042001777 220042001834 220042001806 220042001631 220042001836 220042001870 220042001817 220042001867 220042001851 220042001868 220042001664 220042001395 220042001634 220042001839 220042001816 220042001808 220042001633 220042001866 220042001869 220042001807 220042001621 220042001602 220042001750 
HP Ryzen 7 ,220042001776 220042001809 
HP Ryzen 7 8 GB ,220042001776 220042001809 
HP Ryzen 7 8 GB ,220042001776 220042001809 
HP i5 ,220042001743 220042001864 220042001760 220042001871 220042001834 220042001870 220042001817 220042001851 220042001868 220042001664 220042001395 220042001634 220042001839 220042001816 220042001633 220042001866 
HP i5 8 GB ,220042001864 220042001760 220042001871 220042001834 220042001870 220042001817 220042001851 220042001868 220042001664 220042001395 220042001634 220042001839 220042001816 220042001633 220042001866 
HP i5 16 GB ,220042001743 
HP i5 8 GB ,220042001864 220042001760 220042001871 220042001834 220042001870 220042001817 220042001851 220042001868 220042001664 220042001395 220042001634 220042001839 220042001816 220042001633 220042001866 
HP Ryzen 5 ,220042001777 220042001806 
HP Ryzen 5 8 GB ,220042001777 220042001806 
HP Ryzen 5 8 GB ,220042001777 220042001806 
HP i3 ,220042001761 220042001808 220042001869 220042001807 220042001621 220042001602 
HP i3 4 GB ,220042001761 220042001808 220042001869 220042001807 220042001621 220042001602 
HP Pentium ,220042001750 
HP Pentium 4 GB ,220042001750 
HP i7 ,220042001373 220042001441 220042001691 220042001872 220042001854 220042001815 220042001835 220042001669 220042001631 220042001836 220042001867 
HP i7 8 GB ,220042001854 220042001815 220042001835 220042001669 220042001631 220042001836 220042001867 
HP i7 16 GB ,220042001373 220042001441 220042001691 220042001872 
HP i7 8 GB ,220042001854 220042001815 220042001835 220042001669 220042001631 220042001836 220042001867 
HP Ryzen 7 ,220042001776 220042001809 
HP Ryzen 7 8 GB ,220042001776 220042001809 
HP Ryzen 7 8 GB ,220042001776 220042001809 
Acer ,220042001752 220042001181 220042001754 220042001573 220042001764 220042001763 220042001489 220042001696 220042001825 220042001695 220042001617 220042001526 220042001735 220042001751 220042001837 220042001812 220042001822 220042001823 220042001753 220042001744 
Acer Ryzen 7 ,220042001764 220042001763 
Acer Ryzen 7 8 GB ,220042001764 220042001763 
Acer Ryzen 7 8 GB ,220042001764 220042001763 
Acer i5 ,220042001489 220042001825 220042001617 220042001526 220042001735 220042001751 220042001822 220042001823 
Acer i5 8 GB ,220042001489 220042001617 220042001526 220042001735 220042001751 220042001822 220042001823 
Acer i5 16 GB ,220042001825 
Acer i5 8 GB ,220042001489 220042001617 220042001526 220042001735 220042001751 220042001822 220042001823 
Acer Ryzen 5 ,220042001752 220042001837 220042001812 
Acer Ryzen 5 8 GB ,220042001752 220042001837 220042001812 
Acer Ryzen 5 8 GB ,220042001752 220042001837 220042001812 
Acer Celeron ,220042001754 
Acer Celeron 4 GB ,220042001754 
Acer i3 ,220042001181 
Acer i3 4 GB ,220042001181 
Acer Pentium ,220042001753 220042001744 
Acer Pentium 4 GB ,220042001753 220042001744 
Acer i7 ,220042001573 220042001696 220042001695 
Acer i7 8 GB ,220042001696 220042001695 
Acer i7 16 GB ,220042001573 
Acer i7 8 GB ,220042001696 220042001695 
Acer Ryzen 7 ,220042001764 220042001763 
Acer Ryzen 7 8 GB ,220042001764 220042001763 
Acer Ryzen 7 8 GB ,220042001764 220042001763 
Itel ,220042001766 
Itel Celeron ,220042001766 
Itel Celeron 4 GB ,220042001766 
Dell ,220042001736 220042001813 220042001892 220042001628 220042001845 220042001701 220042001738 220042001786 220042001700 220042001797 220042001534 220042001798 220042001799 220042001758 220042001748 220042001783 220042001745 220042001521 220042001707 220042001833 220042001765 220042001831 220042001775 220042001784 220042001544 220042001826 220042001722 220042001711 
Dell Ryzen 7 ,220042001892 220042001845 220042001798 
Dell Ryzen 7 8 GB ,220042001845 220042001798 
Dell Ryzen 7 16 GB ,220042001892 
Dell Ryzen 7 8 GB ,220042001845 220042001798 
Dell i5 ,220042001738 220042001786 220042001534 220042001799 220042001758 220042001748 220042001783 220042001745 220042001521 220042001707 220042001833 220042001765 220042001775 
Dell i5 8 GB ,220042001738 220042001786 220042001799 220042001758 220042001748 220042001783 220042001745 220042001521 220042001707 220042001833 220042001775 
Dell i5 4 GB ,220042001765 
Dell i5 DDR4 2 khe (1 khe 8GB + 1 khe rời) ,220042001534 
Dell i5 8 GB ,220042001738 220042001786 220042001799 220042001758 220042001748 220042001783 220042001745 220042001521 220042001707 220042001833 220042001775 
Dell Ryzen 5 ,220042001701 220042001700 220042001831 220042001784 220042001544 
Dell Ryzen 5 8 GB ,220042001700 220042001831 220042001784 220042001544 
Dell Ryzen 5 16 GB ,220042001701 
Dell Ryzen 5 8 GB ,220042001700 220042001831 220042001784 220042001544 
Dell Ryzen 3 ,220042001826 
Dell Ryzen 3 8 GB ,220042001826 
Dell Ryzen 3 8 GB ,220042001826 
Dell i3 ,220042001736 220042001722 220042001711 
Dell i3 8 GB ,220042001722 220042001711 
Dell i3 4 GB ,220042001736 
Dell i3 8 GB ,220042001722 220042001711 
Dell i7 ,220042001813 220042001628 220042001797 
Dell i7 8 GB ,220042001628 220042001797 
Dell i7 16 GB ,220042001813 
Dell i7 8 GB ,220042001628 220042001797 
Dell Ryzen 7 ,220042001892 220042001845 220042001798 
Dell Ryzen 7 8 GB ,220042001845 220042001798 
Dell Ryzen 7 16 GB ,220042001892 
Dell Ryzen 7 8 GB ,220042001845 220042001798 
